Grand Prix,LEC,VET,HAM,BOT
Baku,323.65009689302326,319.88017139826354,320.0457427710145,318.27047100289855
Spa,325.0,326.77777777777777,321.9736842105263,320.7631578947368
Monza,331.3125,333.86046511627904,330.80434782608694,328.0625
Mexico,331.921875,332.6461538461538,332.43939393939394,332.9848484848485
